country,standardized,code
afghanistan,afghanistan,AFG
africa eastern and southern,,
africa western and central,,
albania,albania,ALB
algeria,algeria,DZA
american samoa,,
andorra,andorra,AND
angola,angola,AGO
antigua and barbuda,antigua and barbuda,ATG
arab world,,
argentina,argentina,ARG
armenia,armenia,ARM
aruba,aruba,ABW
australia,australia,AUS
austria,austria,AUT
azerbaijan,azerbaijan,AZE
bahamas,bahamas,BHS
"bahamas, the",bahamas,BHS
bahrain,bahrain,BHR
bailiwick of guernsey,,
bangladesh,bangladesh,BGD
barbados,barbados,BRB
belarus,belarus,BLR
belgium,belgium,BEL
belize,belize,BLZ
benin,benin,BEN
bermuda,bermuda,BMU
bhutan,bhutan,BTN
bolivia,bolivia,BOL
bolivia (plurinational state of),bolivia,BOL
bosnia and herzegovina,bosnia and herzegovina,BIH
botswana,botswana,BWA
brazil,brazil,BRA
british virgin islands,,
brunei darussalam,brunei,BRN
bulgaria,bulgaria,BGR
burkina faso,burkina faso,BFA
burundi,burundi,BDI
cabo verde,cabo verde,CPV
cambodia,cambodia,KHM
cameroon,cameroon,CMR
canada,canada,CAN
cape verde,cape verde,CPV
caribbean netherlands,,
caribbean small states,,
cayman islands,,
central african republic,,
central europe and the baltics,,
chad,chad,TCD
channel islands,,
chile,chile,CHL
china,china,CHN
colombia,colombia,COL
comoros,comoros,COM
congo,democratic republic of congo,COD
congo (democratic republic of the),democratic republic of congo,COD
"congo, dem. rep.",democratic republic of congo,COD
"congo, rep.",democratic republic of congo,COD
costa rica,costa rica,CRI
cote d'ivoire,cote d'ivoire,CIV
croatia,croatia,HRV
cuba,cuba,CUB
curacao,curacao,CUW
cyprus,cyprus,CYP
czech republic,czech republic,CZE
czechia,czech republic,CZE
côte d'ivoire,cote d'ivoire,CIV
democratic republic of congo,democratic republic of congo,COD
denmark,denmark,DNK
djibouti,djibouti,DJI
dominica,dominican republic,DOM
dominican republic,dominican republic,DOM
early-demographic dividend,,
east asia & pacific,,
east asia & pacific (excluding high income),,
east asia & pacific (ida & ibrd countries),,
east timor,timor leste ,TLS
ecuador,ecuador,ECU
egypt,egypt,EGY
"egypt, arab rep.",egypt,EGY
el salvador,el salvador,SLV
equatorial guinea,equatorial guinea,GNQ
eritrea,eritrea,ERI
estonia,estonia,EST
eswatini,eswatini,SWZ
eswatini (kingdom of),eswatini,SWZ
ethiopia,ethiopia,ETH
euro area,,
europe & central asia,,
europe & central asia (excluding high income),,
europe & central asia (ida & ibrd countries),,
european union,,
faroe islands,,
fiji,fiji,FJI
finland,finland,FIN
fragile and conflict affected situations,,
france,france,FRA
french guiana,french guiana,GUF
french polynesia,french polynesia,PYF
gabon,gabon,GAB
gambia,gambia,GMB
"gambia, the",gambia,GMB
georgia,georgia,GEO
germany,germany,DEU
ghana,ghana,GHA
gibraltar,gibraltar,GIB
greece,greece,GRC
greenland,greenland,GRL
grenada,grenada,GRD
guadeloupe,guadeloupe,GLP
guam,guam,GUM
guatemala,guatemala,GTM
guinea,guinea,GIN
guinea-bissau,guinea-bissau,GNB
guyana,guyana,GUY
haiti,haiti,HTI
heavily indebted poor countries (hipc),,
high human development,,
high income,,
honduras,honduras,HND
"hong kong sar, china",,
"hong kong, china (sar)",,
hungary,hungary,HUN
ibrd only,,
iceland,iceland,ISL
ida & ibrd total,,
ida blend,,
ida only,,
ida total,,
india,india,IND
indonesia,indonesia,IDN
iran,iran,IRN
iran (islamic republic of),iran,IRN
"iran, islamic rep.",iran,IRN
iraq,iraq,IRQ
ireland,ireland,IRL
isle of man,,
israel,,
italy,italy,ISR
ivory coast,cote d'ivoire,CIV
jamaica,jamaica,JAM
japan,japan,JPN
jordan,jordan,JOR
kazakhstan,kazakhstan,KAZ
kenya,kenya,KEN
kiribati,kiribati,KIR
korea (republic of),south korea,KOR
"korea, dem. people's rep.",north korea,PRK
"korea, rep.",south korea,KOR
kosovo,kosovo,XXK
kuwait,kuwait,KWT
kyrgyz republic,kyrgyzstan,KGZ
kyrgyzstan,kyrgyzstan,KGZ
lao pdr,laos,LAO
lao people's democratic republic,laos,LAO
laos,laos,LAO
late-demographic dividend,,
latin america & caribbean,,
latin america & caribbean (excluding high income),,
latin america & the caribbean (ida & ibrd countries),,
latvia,latvia,LVA
least developed countries: un classification,,
lebanon,lebanon,LBN
lesotho,lesotho,LSO
liberia,liberia,LBR
libya,libya,LBY
liechtenstein,liechtenstein,LIE
lithuania,lithuania,LTU
low & middle income,,
low human development,,
low income,,
lower middle income,,
luxembourg,luxembourg,LUX
"macao sar, china",,
madagascar,madagascar,MDG
malawi,malawi,MWI
malaysia,malaysia,MYS
maldives,maldives,MDV
mali,mali,MLI
